# Last update: Mon, 23 Mar 2020 23:00:16 +0100
#
# IP	number of (black)lists
#
195.206.105.217	11
18.27.197.252	10
178.165.72.177	10
46.165.230.5	10
185.220.100.243	10
185.100.87.206	10
89.234.157.254	9
171.25.193.78	9
185.107.47.171	9
46.165.245.154	9
185.220.100.255	9
185.220.100.254	9
185.220.102.8	9
176.10.99.200	9
185.220.100.247	9
94.102.49.82	8
171.25.193.77	8
104.244.72.115	8
195.231.0.210	8
89.189.223.28	8
185.220.100.250	8
185.220.100.253	8
211.137.68.126	8
185.220.101.24	8
185.220.101.21	8
185.220.102.6	8
45.67.14.0	8
193.142.146.21	8
171.25.193.20	8
144.217.255.89	8
51.75.144.43	8
77.247.181.165	8
104.244.76.13	8
185.220.100.246	8
185.220.100.245	8
185.220.100.242	8
185.220.100.241	8
51.158.111.157	8
194.187.249.41	7
162.247.74.201	7
222.186.15.91	7
178.73.215.171	7
124.238.113.126	7
37.49.226.149	7
162.247.74.74	7
91.132.147.168	7
222.186.180.142	7
109.201.133.100	7
222.186.42.155	7
118.70.216.153	7
23.129.64.234	7
185.220.101.33	7
185.220.101.1	7
199.87.154.255	7
222.186.15.10	7
69.158.207.141	7
142.44.139.12	7
162.247.72.199	7
185.220.100.251	7
185.220.100.252	7
45.33.70.146	7
94.230.208.147	7
185.220.101.29	7
185.220.101.25	7
192.42.116.16	7
192.42.116.13	7
85.248.227.164	7
77.247.181.162	7
94.203.254.248	7
78.131.11.10	7
185.220.101.28	7
79.120.55.146	7
222.186.180.130	7
167.88.7.134	7
185.220.102.7	7
185.216.32.130	7
222.186.30.209	7
171.25.193.25	7
111.229.225.5	7
222.186.52.139	7
195.176.3.19	7
35.0.127.52	7
23.129.64.227	7
64.113.32.29	7
51.79.86.175	7
95.211.230.211	7
45.95.55.58	7
222.186.42.7	7
222.186.30.57	7
62.102.148.68	7
5.199.130.188	7
185.220.100.244	7
185.220.100.240	7
185.220.100.248	7
185.220.100.249	7
185.220.101.17	7
185.220.101.15	7
85.248.227.165	7
185.220.101.31	7
185.220.101.32	7
77.247.181.163	7
41.234.66.22	7
192.42.116.15	7
158.174.122.199	7
185.220.101.13	7
62.210.105.116	7
51.79.86.181	7
222.186.175.23	7
104.244.76.189	6
80.82.77.33	6
137.74.169.241	6
167.114.89.205	6
14.99.38.109	6
162.247.74.202	6
51.15.80.14	6
117.34.200.242	6
164.132.51.91	6
45.79.152.7	6
109.70.100.20	6
109.70.100.29	6
185.207.139.2	6
124.65.18.102	6
46.38.235.14	6
91.250.242.12	6
195.176.3.20	6
195.176.3.24	6
185.107.47.215	6
51.15.43.205	6
222.186.31.166	6
164.68.112.178	6
212.47.229.4	6
142.44.246.156	6
222.186.31.83	6
82.65.34.74	6
23.129.64.232	6
162.247.74.204	6
192.42.116.25	6
194.105.205.42	6
185.220.101.9	6
185.220.101.7	6
185.220.101.6	6
185.220.101.4	6
89.31.57.5	6
23.129.64.158	6
23.129.64.159	6
23.129.64.154	6
23.129.64.214	6
176.10.104.240	6
163.47.146.74	6
154.119.7.3	6
178.20.55.18	6
111.229.109.26	6
62.171.161.253	6
141.98.254.225	6
54.36.108.162	6
93.186.170.7	6
185.107.70.202	6
104.244.77.95	6
198.98.53.61	6
222.186.30.187	6
185.165.168.229	6
82.64.15.106	6
185.220.101.26	6
185.220.101.27	6
185.220.101.23	6
192.42.116.19	6
166.70.207.2	6
121.165.33.239	6
185.130.44.108	6
209.141.58.114	6
23.129.64.180	6
23.129.64.182	6
144.217.5.235	6
213.61.215.54	6
109.70.100.19	6
162.247.74.27	6
222.186.31.135	6
92.63.194.11	6
159.203.180.33	6
185.220.103.8	6
31.202.97.15	6
162.247.74.216	6
207.244.70.35	6
66.230.230.230	6
62.219.3.48	6
80.82.77.139	6
89.189.223.207	6
111.67.201.176	6
37.49.226.151	6
45.55.195.191	6
51.79.53.145	6
95.111.59.210	6
24.9.94.119	6
162.247.74.7	6
185.248.160.214	6
23.129.64.222	6
185.100.86.182	6
51.79.86.177	6
51.79.86.173	6
167.114.2.67	6
144.217.207.15	6
185.220.101.193	6
212.21.66.6	6
107.189.10.190	6
89.248.167.131	6
222.186.30.35	6
46.182.106.190	6
185.220.101.14	6
59.10.5.156	6
192.42.116.26	6
194.180.224.137	6
62.171.161.206	6
222.186.15.158	6
61.84.196.50	6
130.61.108.58	6
209.141.45.189	6
185.34.33.2	6
109.111.183.80	6
199.249.230.123	6
42.112.17.30	6
85.93.218.204	6
107.189.10.212	6
62.102.148.69	6
185.100.87.207	6
72.83.2.187	5
52.167.130.229	5
66.146.193.33	5
66.151.211.170	5
162.247.74.200	5
162.247.74.206	5
222.186.175.140	5
222.186.175.148	5
2.139.215.255	5
192.160.102.170	5
222.186.30.248	5
40.114.95.151	5
202.39.70.5	5
220.167.100.60	5
119.42.175.200	5
222.186.169.194	5
222.186.169.192	5
222.186.30.218	5
51.68.212.173	5
64.27.17.140	5
109.70.100.26	5
109.70.100.21	5
109.70.100.23	5
109.70.100.22	5
109.70.100.28	5
5.199.135.107	5
45.79.168.138	5
222.186.180.17	5
27.78.14.83	5
51.79.53.139	5
104.206.128.6	5
23.94.189.106	5
206.189.47.166	5
180.232.96.162	5
188.214.104.146	5
94.100.6.72	5
195.176.3.23	5
67.205.138.202	5
60.190.226.187	5
60.190.226.186	5
120.29.226.14	5
195.154.179.3	5
222.186.175.182	5
222.186.175.183	5
58.17.243.151	5
93.174.93.133	5
51.15.225.148	5
222.186.180.147	5
54.36.189.105	5
192.151.150.108	5
178.128.255.8	5
104.206.128.26	5
200.6.188.38	5
194.61.26.34	5
183.82.0.15	5
112.35.0.252	5
192.241.235.197	5
112.85.42.180	5
182.255.33.38	5
199.195.249.82	5
115.238.62.154	5
164.52.24.164	5
104.140.188.10	5
144.91.75.5	5
116.202.112.170	5
62.151.182.246	5
198.98.60.141	5
192.42.116.28	5
222.186.180.223	5
218.93.27.230	5
199.249.230.69	5
185.220.101.3	5
185.220.101.2	5
62.231.7.221	5
71.202.97.198	5
104.206.128.34	5
104.206.128.38	5
130.185.250.76	5
23.129.64.150	5
209.95.51.11	5
131.153.30.68	5
87.118.116.90	5
107.6.183.226	5
23.129.64.213	5
142.44.156.140	5
162.243.133.183	5
45.143.220.18	5
104.140.188.54	5
190.104.26.227	5
51.15.235.211	5
64.227.19.202	5
170.130.187.38	5
170.130.187.34	5
211.21.92.211	5
104.206.128.18	5
101.255.36.146	5
62.122.201.241	5
182.48.38.103	5
112.85.42.178	5
112.85.42.176	5
112.85.42.174	5
89.248.174.3	5
130.149.80.199	5
62.210.37.82	5
107.189.10.93	5
51.15.117.50	5
218.92.0.148	5
218.92.0.145	5
170.130.187.10	5
170.130.187.18	5
222.186.173.154	5
157.230.123.253	5
185.165.168.168	5
178.62.247.89	5
104.206.128.74	5
163.172.77.243	5
222.186.42.136	5
104.206.128.30	5
45.227.255.119	5
104.140.188.34	5
162.243.129.143	5
185.202.1.240	5
223.240.84.49	5
218.92.0.212	5
218.92.0.168	5
205.185.125.140	5
199.249.230.82	5
199.249.230.86	5
199.249.230.89	5
196.52.43.62	5
89.163.143.8	5
37.49.226.13	5
104.206.128.50	5
104.206.128.58	5
223.112.134.201	5
222.186.175.212	5
222.186.175.215	5
222.186.175.216	5
222.186.175.217	5
198.96.155.3	5
198.251.89.80	5
222.186.173.215	5
92.118.160.29	5
82.64.25.207	5
51.15.49.134	5
210.56.23.100	5
185.220.101.129	5
94.102.51.78	5
46.182.7.90	5
185.220.101.22	5
185.220.101.20	5
192.42.116.14	5
209.141.41.103	5
182.75.216.190	5
170.130.187.54	5
170.130.187.50	5
180.101.228.203	5
222.186.190.2	5
162.243.129.25	5
155.4.117.13	5
199.195.251.226	5
185.224.131.132	5
173.248.227.117	5
222.186.173.238	5
96.87.184.101	5
185.220.102.4	5
109.70.100.25	5
109.70.100.24	5
109.70.100.27	5
223.99.196.251	5
185.100.86.154	5
205.185.127.219	5
195.123.213.98	5
209.141.35.177	5
157.245.104.96	5
212.16.104.33	5
193.218.118.131	5
193.218.118.130	5
179.108.126.114	5
192.99.56.103	5
209.141.58.58	5
222.186.175.220	5
23.129.64.188	5
23.129.64.183	5
23.129.64.187	5
185.220.101.16	5
103.126.56.22	5
138.68.81.162	5
51.79.86.180	5
185.220.101.46	5
45.148.10.189	5
13.78.129.193	5
142.93.235.47	5
222.186.30.167	5
185.220.101.131	5
185.220.101.134	5
185.220.101.136	5
185.220.101.139	5
220.178.75.153	5
185.164.72.133	5
89.236.112.100	5
142.93.255.41	5
101.36.164.25	5
185.220.103.5	5
185.220.103.4	5
107.189.11.11	5
185.213.155.172	5
162.247.74.217	5
162.247.74.213	5
51.38.162.232	5
46.148.20.25	5
222.186.175.151	5
222.186.175.150	5
45.154.255.44	5
27.155.87.180	5
104.244.73.126	5
185.202.1.164	5
87.118.110.27	5
45.95.168.65	5
35.220.147.84	5
107.172.46.112	5
171.25.193.235	5
173.249.57.253	5
103.20.188.18	5
176.31.102.207	5
167.86.94.107	5
162.243.132.159	5
31.185.104.19	5
144.172.71.182	5
180.96.62.247	5
51.15.76.119	5
23.129.64.191	5
104.140.188.6	5
104.140.188.2	5
58.250.79.7	5
51.91.136.174	5
77.109.191.140	5
5.188.206.54	5
80.82.70.118	5
89.248.169.12	5
80.67.172.162	5
64.227.17.18	5
151.229.240.33	5
23.129.64.221	5
23.129.64.223	5
23.129.64.224	5
23.129.64.225	5
193.70.43.220	5
80.188.204.250	5
217.79.178.53	5
185.94.111.1	5
45.143.220.28	5
185.248.160.231	5
51.68.139.151	5
222.186.173.183	5
222.186.173.180	5
183.134.104.146	5
222.186.30.76	5
92.118.160.25	5
23.129.64.209	5
23.129.64.200	5
23.129.64.206	5
23.129.64.207	5
23.129.64.205	5
209.141.45.212	5
104.140.188.42	5
222.186.15.166	5
185.220.101.57	5
89.102.198.78	5
116.255.235.99	5
144.217.60.239	5
61.148.16.162	5
222.186.190.92	5
216.239.90.19	5
82.64.60.90	5
104.200.134.250	5
82.64.204.164	5
195.254.134.194	5
43.226.156.147	5
200.105.234.131	5
205.185.126.56	5
87.118.116.103	5
218.92.0.138	5
170.130.187.26	5
170.130.187.22	5
31.185.104.21	5
222.186.173.142	5
144.217.60.211	5
116.105.216.179	5
185.129.62.62	5
149.202.238.204	5
185.220.103.7	5
185.220.101.10	5
185.220.101.19	5
185.220.101.18	5
154.16.113.198	5
218.92.0.158	5
64.139.73.170	5
103.210.133.20	5
101.251.68.167	5
104.206.128.62	5
104.206.128.66	5
170.130.187.2	5
170.130.187.6	5
49.88.112.55	5
185.100.87.41	5
92.118.160.5	5
104.140.188.26	5
104.140.188.22	5
222.186.180.9	5
222.186.180.8	5
222.186.180.6	5
192.42.116.23	5
192.42.116.27	5
192.42.116.24	5
218.92.0.178	5
218.92.0.179	5
152.89.239.85	5
159.89.231.172	5
78.31.67.30	5
104.206.128.78	5
104.206.128.70	5
222.186.175.202	5
167.71.57.61	5
222.186.173.201	5
42.157.163.103	5
45.136.108.85	5
213.74.176.36	5
162.247.73.192	5
170.130.187.46	5
111.32.171.44	5
185.4.224.34	5
222.186.173.226	5
23.129.64.192	5
185.220.101.141	5
185.220.101.145	5
159.65.6.236	5
199.249.230.121	5
193.180.164.140	5
222.186.42.75	5
116.240.199.23	5
115.233.218.202	5
46.105.90.16	5
123.18.206.15	5
193.187.118.237	5
46.166.139.111	5
37.49.230.32	5
222.186.175.163	5
199.249.230.102	5
99.191.118.206	5
46.148.21.32	4
203.195.235.135	4
190.128.239.146	4
149.202.206.206	4
128.199.99.204	4
185.4.135.135	4
95.170.118.79	4
104.244.74.57	4
157.245.243.4	4
187.189.56.13	4
178.69.12.30	4
118.24.38.12	4
92.242.240.34	4
176.31.170.245	4
83.142.197.99	4
103.99.1.31	4
162.243.133.125	4
145.239.91.37	4
37.59.48.181	4
162.243.128.127	4
54.38.188.34	4
74.82.47.14	4
213.6.66.162	4
188.234.216.99	4
203.114.124.206	4
188.166.5.84	4
92.63.194.155	4
145.239.95.83	4
103.75.101.59	4
200.17.114.215	4
167.114.89.200	4
151.213.6.241	4
185.94.189.182	4
80.211.240.108	4
188.87.101.119	4
219.147.74.48	4
185.53.168.96	4
106.13.53.173	4
46.101.43.224	4
90.73.7.138	4
185.4.31.99	4
175.6.70.180	4
193.70.39.58	4
41.57.65.76	4
111.229.28.34	4
94.191.60.71	4
80.211.254.23	4
54.38.36.210	4
152.136.165.226	4
162.243.131.10	4
106.12.181.184	4
60.30.98.194	4
45.151.254.218	4
188.92.77.235	4
112.78.45.40	4
77.81.230.120	4
43.252.11.4	4
14.143.103.174	4
183.250.155.206	4
79.137.97.65	4
103.109.52.59	4
212.83.175.114	4
130.61.118.231	4
171.244.140.174	4
114.104.188.208	4
118.24.208.253	4
188.168.96.34	4
77.247.109.239	4
31.171.108.133	4
45.125.222.120	4
159.65.4.86	4
111.31.14.11	4
52.142.160.188	4
88.204.214.123	4
93.14.78.71	4
5.196.75.178	4
49.232.144.7	4
51.38.176.147	4
46.22.49.41	4
51.68.190.214	4
85.95.150.143	4
192.241.237.166	4
134.209.44.17	4
159.203.14.38	4
123.206.81.109	4
162.243.133.98	4
60.173.116.25	4
